module,indegree,ancestor_count,sorry_count
ArkLib.ToVCVio.Oracle,0,0,6
ArkLib.Data.CNat.Church,0,0,4
ArkLib.Data.Polynomial.PolynomialLike,0,0,4
ArkLib.Data.CodingTheory.BerlekampWelch.Sorries,0,0,3
ArkLib.Data.List.BigOperators,0,0,3
ArkLib.Data.Polynomial.Bivariate,0,0,3
ArkLib.CommitmentScheme.MerkleTree,0,0,2
ArkLib.Data.List.Lemmas,0,0,2
ArkLib.ToVCVio.SimOracle,0,0,2
ArkLib.Data.List.Vector,0,0,1
ArkLib.Data.Vector.Basic,0,0,1
ArkLib.ToMathlib.Data.IndexedBinaryTree.Basic,0,0,1
ArkLib.Data.Classes.DCast,0,0,0
ArkLib.Data.Classes.FunEquiv,0,0,0
ArkLib.Data.Classes.HasSize,0,0,0
ArkLib.Data.Classes.HasSucc,0,0,0
ArkLib.Data.Classes.Initialize,0,0,0
ArkLib.Data.Classes.Serde,0,0,0
ArkLib.Data.Classes.Slice,0,0,0
ArkLib.Data.CodingTheory.BerlekampWelch.ToMathlib,0,0,0
ArkLib.Data.CodingTheory.Prelims,0,0,0
ArkLib.Data.FieldTheory.BinaryField.Tower.TensorAlgebra,0,0,0
ArkLib.Data.FieldTheory.NonBinaryField.Basic,0,0,0
ArkLib.Data.Fin.BigOperators,0,0,0
ArkLib.Data.Fin.Tuple.Defs,0,0,0
ArkLib.Data.GroupTheory.PrimeOrder,0,0,0
ArkLib.Data.GroupTheory.Smooth,0,0,0
ArkLib.Data.List.Find,0,0,0
ArkLib.Data.List.HList,0,0,0
ArkLib.Data.Misc.Basic,0,0,0
ArkLib.Data.Polynomial.Frobenius,0,0,0
ArkLib.Data.Polynomial.SplitFold,0,0,0
ArkLib.Data.Probability.Instances,0,0,0
ArkLib.Data.Probability.Notation,0,0,0
ArkLib.Data.RingTheory.TowerOfAlgebra,0,0,0
ArkLib.OracleReduction.Prelude,0,0,0
ArkLib.ProofSystem.ConstraintSystem.Lookup,0,0,0
ArkLib.ProofSystem.ConstraintSystem.MemoryChecking,0,0,0
ArkLib.ProofSystem.DSL,0,0,0
ArkLib.ProofSystem.Stir.ProximityBound,0,0,0
ArkLib.ToMathlib.BigOperators.Fin,0,0,0
ArkLib.ToMathlib.Finset.Basic,0,0,0
ArkLib.ToMathlib.Finsupp.Fin,0,0,0
ArkLib.ToMathlib.NumberTheory.PrattCertificate,0,0,0
ArkLib.ToMathlib.UInt.Equiv,0,0,0
ArkLib.ToVCVio.Lemmas,0,0,0
module,indegree,0,0
ArkLib.Data.MvPolynomial.MvPolynomialLike,1,1,3
ArkLib.Data.Array.Lemmas,1,1,2
ArkLib.Data.Fin.Basic,1,1,2
ArkLib.Data.CodingTheory.PolishchukSpielman,1,1,1
ArkLib.Data.Classes.HasPred,1,1,0
ArkLib.Data.Classes.ToNat,1,1,0
ArkLib.Data.FieldTheory.NonBinaryField.BLS12_377,1,1,0
ArkLib.Data.FieldTheory.NonBinaryField.BLS12_381,1,1,0
ArkLib.Data.FieldTheory.NonBinaryField.BN254,1,1,0
ArkLib.Data.FieldTheory.NonBinaryField.BabyBear,1,1,0
ArkLib.Data.FieldTheory.NonBinaryField.Goldilocks,1,1,0
ArkLib.Data.FieldTheory.NonBinaryField.Mersenne,1,1,0
ArkLib.Data.FieldTheory.NonBinaryField.Secp256k1,1,1,0
ArkLib.Data.Fin.Fold,1,1,0
ArkLib.Data.Nat.Bitwise,1,1,0
ArkLib.ProofSystem.Fri.RoundConsistency,1,1,0
ArkLib.ToMathlib.Data.IndexedBinaryTree.Equiv,1,1,0
ArkLib.ToMathlib.Data.IndexedBinaryTree.Lemmas,1,1,0
ArkLib.ToMathlib.MvPolynomial.Equiv,1,1,0
ArkLib.ToVCVio.DistEq,1,1,0
ArkLib.Data.FieldTheory.NonBinaryField.KoalaBear,2,2,8
ArkLib.Data.CNat.AssocNat,1,2,6
ArkLib.Data.UniPoly.Basic,1,2,3
ArkLib.AGM.Basic,2,2,1
ArkLib.Data.EllipticCurve.BN254,1,2,1
ArkLib.Data.FieldTheory.BinaryField.Tower.Prelude,1,2,0
ArkLib.Data.Fin.Lift,1,2,0
ArkLib.Data.MvPolynomial.Notation,1,2,0
ArkLib.Data.Polynomial.EvenAndOdd,2,2,0
ArkLib.ProofSystem.Fri.Domain,2,2,0
ArkLib.Data.CNat.Defs,2,3,3
ArkLib.ProofSystem.ConstraintSystem.Plonk,1,3,1
ArkLib.CommitmentScheme.KZG,1,3,0
ArkLib.Data.CodingTheory.Basic,2,3,0
ArkLib.Data.MvPolynomial.Degrees,1,3,0
ArkLib.Data.Polynomial.Interface,1,3,0
ArkLib.Data.Polynomial.MonomialBasis,1,3,0
ArkLib.Data.Hash.DuplexSponge,4,4,3
ArkLib.Data.Hash.Poseidon2,2,4,3
ArkLib.Data.MvPolynomial.Interpolation,1,4,3
ArkLib.Data.MvPolynomial.LinearMvExtension,1,4,3
ArkLib.Data.CodingTheory.ListDecodability,1,4,2
ArkLib.Data.MvPolynomial.Sumcheck,1,4,2
